emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,case_type
excited,2,129.74926635183925,77.94673267178506,0.719,0.521,21.11,36.87,-0.42,-0.513,10.116,0.499,95.4,2025-07-16T19:04:12.019469,edge_case
focused,1,84.835,61.733,0.503,0.046,12.0,36.6,0.035,0.071,9.797,0.819,96.4,2025-07-16T19:04:12.019639,edge_case
fatigued,5,64.741,29.766,0.252,0.088,10.696,36.27,-0.108,0.24,9.783,0.193,97.2,2025-07-16T19:04:12.019806,edge_case
calm,0,74.4537008539732,57.65384980891409,0.32990448427402386,0.136,15.883,36.85,-0.056,-0.083,9.778,0.103,96.6,2025-07-16T19:04:12.019976,edge_case
focused,1,45.0,8.0,0.399,0.062,15.714,36.63,-0.036,0.004,9.749,0.701,96.6,2025-07-16T19:04:12.020169,edge_case
fatigued,5,124.57498538504842,66.34412047479731,0.231,0.203,9.907,36.67,0.146,-0.09,9.628,0.566,96.6,2025-07-16T19:04:12.020370,edge_case
stressed,3,91.709,19.896,0.841,0.23,18.907,36.69,0.004,-0.371,9.679,0.539,95.0,2025-07-16T19:04:12.020754,edge_case
anxious,4,100.31,14.171,0.754,0.334,25.181,37.1,-0.238,0.278,9.954,0.667,94.8,2025-07-16T19:04:12.020969,edge_case
fatigued,5,51.808430569080706,35.89792562944009,0.2729162232236705,0.246,10.178,36.65,0.446,0.286,9.969,0.987,97.2,2025-07-16T19:04:12.021138,edge_case
excited,2,180.0,8.0,0.668,0.1,18.443,36.98,-0.039,-0.096,9.814,0.962,95.2,2025-07-16T19:04:12.021306,edge_case
stressed,3,124.31061027847615,61.52982401130607,0.686,0.413,22.766,37.15,0.455,-0.422,9.832,0.65,94.2,2025-07-16T19:04:12.021503,edge_case
fatigued,5,60.819,32.28,0.178,0.19,10.533,36.44,0.378,0.088,9.857,0.787,97.0,2025-07-16T19:04:12.021863,edge_case
anxious,4,92.12,18.824,0.877,0.564,22.772,36.96,-1.171,0.16,9.702,0.851,94.5,2025-07-16T19:04:12.022035,edge_case
calm,0,64.17153510558536,54.75442422534864,0.2636196866639308,0.014,12.389,36.4,-0.007,-0.003,9.802,0.319,96.6,2025-07-16T19:04:12.022194,edge_case
excited,2,45.0,90.0,0.548,0.525,14.0,36.81,-0.095,0.152,10.02,0.74,95.6,2025-07-16T19:04:12.022356,edge_case
calm,0,111.0398933331368,64.73070525692359,0.317,0.113,15.216,36.67,0.085,0.133,9.836,0.329,96.9,2025-07-16T19:04:12.022542,edge_case
focused,1,69.18,48.673,0.369,0.055,12.484,36.53,-0.006,0.079,9.767,0.948,97.3,2025-07-16T19:04:12.022705,edge_case
fatigued,5,61.73,31.288,0.245,0.101,12.434,36.35,0.083,0.167,9.828,0.261,98.0,2025-07-16T19:04:12.022857,edge_case
anxious,4,96.65696540364152,18.5963334739227,0.7888212465488091,0.491,18.0,37.13,-0.084,-0.467,9.432,0.105,93.6,2025-07-16T19:04:12.023022,edge_case
fatigued,5,180.0,90.0,0.331,0.121,11.973,36.4,-0.102,-0.129,9.803,0.712,97.3,2025-07-16T19:04:12.023180,edge_case
anxious,4,127.20107210941445,73.91557624630508,0.95,0.444,30.008,37.31,-0.086,0.788,9.927,0.422,94.3,2025-07-16T19:04:12.023363,edge_case
calm,0,72.947,58.984,0.264,0.144,13.469,36.65,0.203,-0.033,9.809,0.471,96.9,2025-07-16T19:04:12.023524,edge_case
fatigued,5,65.877,18.024,0.256,0.05,11.12,36.52,0.045,0.05,9.831,0.669,98.3,2025-07-16T19:04:12.023675,edge_case
stressed,3,89.86029651415274,18.672956530814066,0.9800354653057842,0.348,22.747,36.86,0.394,-0.218,9.914,0.769,94.6,2025-07-16T19:04:12.023828,edge_case
calm,0,180.0,90.0,0.311,0.155,14.269,36.68,0.079,-0.161,9.747,0.379,96.8,2025-07-16T19:04:12.023986,edge_case
excited,2,118.3094032344983,70.96239813813267,0.598,0.616,17.244,37.1,-0.016,-0.712,9.552,0.29,96.2,2025-07-16T19:04:12.024166,edge_case
excited,2,81.756,25.859,0.643,0.629,21.92,36.87,-0.395,-0.164,10.255,0.422,95.5,2025-07-16T19:04:12.024325,edge_case
stressed,3,87.725,12.856,0.5,0.349,24.6,36.92,-0.316,-0.213,9.994,0.37,96.1,2025-07-16T19:04:12.024475,edge_case
anxious,4,107.34256035452074,11.925088833811204,0.8324504251160934,0.239,22.254,37.04,0.051,0.188,9.654,0.141,93.6,2025-07-16T19:04:12.024624,edge_case
anxious,4,45.0,90.0,0.881,0.347,18.0,36.97,0.033,0.088,9.746,0.193,94.7,2025-07-16T19:04:12.024782,edge_case
fatigued,5,115.95947690431815,62.34100578531197,0.316,0.066,9.407,36.32,0.082,-0.064,9.811,0.113,97.3,2025-07-16T19:04:12.024963,edge_case
anxious,4,88.151,21.688,0.708,0.15,25.905,36.79,0.161,0.057,9.808,0.713,95.0,2025-07-16T19:04:12.025120,edge_case
focused,1,65.0,49.169,0.475,0.07,13.406,36.74,-0.026,-0.035,9.783,0.827,97.4,2025-07-16T19:04:12.025270,edge_case
excited,2,84.3724223355404,17.52005236675195,0.8094888263819775,0.563,19.224,36.92,0.35,-0.442,9.683,0.365,96.4,2025-07-16T19:04:12.025420,edge_case
stressed,3,180.0,90.0,0.603,0.432,22.348,36.99,-0.498,-0.038,9.911,0.988,95.9,2025-07-16T19:04:12.025575,edge_case
calm,0,120.75191355871924,66.33589890518965,0.177,0.144,12.298,36.36,0.134,-0.125,9.77,0.743,97.2,2025-07-16T19:04:12.025757,edge_case
stressed,3,98.815,19.623,0.656,0.231,17.136,36.78,-0.421,0.221,10.036,0.147,96.4,2025-07-16T19:04:12.025914,edge_case
anxious,4,100.77,12.274,0.811,0.288,22.632,36.94,-0.076,0.229,9.683,0.447,94.3,2025-07-16T19:04:12.026068,edge_case
stressed,3,120.08984128003243,19.575214239573526,1.005664625395801,0.36,16.0,37.24,0.033,0.191,9.638,0.106,95.2,2025-07-16T19:04:12.026218,edge_case
anxious,4,180.0,90.0,0.95,0.379,18.0,37.25,0.227,0.222,9.632,0.629,94.8,2025-07-16T19:04:12.026375,edge_case
calm,0,114.04619384805716,69.02067812576773,0.358,0.098,15.521,36.42,-0.083,-0.032,9.962,0.353,95.8,2025-07-16T19:04:12.026558,edge_case
focused,1,78.406,41.803,0.495,0.059,15.188,36.49,-0.107,-0.029,9.78,0.116,96.6,2025-07-16T19:04:12.026718,edge_case
focused,1,78.135,45.934,0.301,0.034,12.782,36.67,-0.008,-0.016,9.783,0.684,96.9,2025-07-16T19:04:12.026870,edge_case
excited,2,70.67389633664651,44.66143297442534,0.5832481283821868,0.36,16.058,36.65,0.301,0.301,9.791,0.451,96.9,2025-07-16T19:04:12.027020,edge_case
anxious,4,180.0,90.0,0.95,0.332,21.091,37.11,-0.201,0.192,9.596,0.684,94.9,2025-07-16T19:04:12.027176,edge_case
fatigued,5,129.6849440296524,77.73599387117046,0.308,0.167,14.875,36.46,-0.016,0.089,9.68,0.106,97.4,2025-07-16T19:04:12.027357,edge_case
focused,1,82.771,58.144,0.459,0.051,15.59,36.65,0.008,0.043,9.815,0.97,96.7,2025-07-16T19:04:12.027517,edge_case
focused,1,76.656,46.131,0.307,0.036,14.782,36.48,-0.029,-0.009,9.814,0.845,97.0,2025-07-16T19:04:12.027668,edge_case
focused,1,68.50954071799583,52.84315590175672,0.3911206781010999,0.067,16.406,36.48,-0.118,0.11,9.791,0.429,96.5,2025-07-16T19:04:12.027819,edge_case
excited,2,180.0,8.0,0.8,0.618,16.67,37.07,-0.242,0.954,10.473,0.844,94.5,2025-07-16T19:04:12.027976,edge_case
fatigued,5,129.56279123414419,64.49820322829848,0.353,0.103,14.451,36.38,-0.133,0.006,9.786,0.757,97.3,2025-07-16T19:04:12.028310,edge_case
focused,1,80.276,37.257,0.454,0.032,15.268,36.59,0.002,0.004,9.808,0.706,94.9,2025-07-16T19:04:12.028545,edge_case
anxious,4,103.305,15.971,0.808,0.397,18.0,36.95,-0.714,0.209,9.528,0.704,95.7,2025-07-16T19:04:12.028703,edge_case
stressed,3,90.54259796691592,14.606500124569799,0.6295524444686017,0.128,21.808,36.66,0.001,-0.002,9.79,0.982,95.6,2025-07-16T19:04:12.028857,edge_case
stressed,3,180.0,8.0,0.5,0.259,20.857,36.62,0.144,0.054,9.669,0.298,96.6,2025-07-16T19:04:12.029022,edge_case
anxious,4,114.45612631829209,65.01134672908273,0.826,0.491,25.857,36.92,-1.042,0.562,10.004,0.894,94.7,2025-07-16T19:04:12.029204,edge_case
excited,2,78.044,33.516,0.496,0.297,16.388,36.69,0.322,0.216,9.716,0.146,96.4,2025-07-16T19:04:12.029364,edge_case
focused,1,82.927,54.392,0.42,0.046,14.107,36.6,-0.032,-0.022,9.819,0.455,95.9,2025-07-16T19:04:12.029517,edge_case
calm,0,67.40272291086963,49.44827902021419,0.4159716594751041,0.116,14.698,36.54,0.045,-0.086,9.702,0.909,97.3,2025-07-16T19:04:12.029669,edge_case
anxious,4,45.0,90.0,0.887,0.55,19.115,37.3,-0.641,-0.5,9.698,0.265,93.7,2025-07-16T19:04:12.029826,edge_case
focused,1,121.34156830986755,77.40377506991379,0.438,0.047,15.776,36.5,-0.036,-0.005,9.812,0.921,97.1,2025-07-16T19:04:12.030008,edge_case
focused,1,65.0,52.992,0.458,0.057,14.792,36.46,0.0,0.098,9.835,0.571,97.3,2025-07-16T19:04:12.030168,edge_case
fatigued,5,63.426,26.093,0.179,0.074,12.14,36.59,-0.104,-0.081,9.838,0.571,96.9,2025-07-16T19:04:12.030319,edge_case
fatigued,5,78.03993071454141,28.911773725959776,0.2523258800065025,0.096,8.0,36.63,-0.084,0.183,9.78,0.778,97.5,2025-07-16T19:04:12.030469,edge_case
anxious,4,180.0,8.0,0.826,0.39,24.906,37.01,0.385,0.01,9.676,0.979,94.2,2025-07-16T19:04:12.030625,edge_case
fatigued,5,111.48354500786365,75.42147829259056,0.247,0.151,10.101,36.43,-0.227,0.029,9.924,0.17,97.0,2025-07-16T19:04:12.030807,edge_case
calm,0,57.997,45.253,0.28,0.074,16.408,36.35,0.002,-0.005,9.78,0.895,98.5,2025-07-16T19:04:12.030968,edge_case
calm,0,68.944,46.874,0.15,0.155,14.123,36.55,-0.012,-0.075,9.619,0.827,97.1,2025-07-16T19:04:12.031123,edge_case
excited,2,67.5936491162749,37.93129181569169,0.5502927745292445,0.359,22.337,36.74,-0.297,-0.141,9.668,0.76,96.8,2025-07-16T19:04:12.031275,edge_case
focused,1,180.0,8.0,0.508,0.051,15.017,36.44,0.013,-0.037,9.737,0.253,96.9,2025-07-16T19:04:12.031432,edge_case
anxious,4,118.39786699339336,66.61193078762489,0.903,0.469,25.73,36.78,0.01,-0.028,9.672,0.212,95.0,2025-07-16T19:04:12.031612,edge_case
calm,0,67.128,50.429,0.223,0.103,13.419,36.39,-0.101,0.061,9.783,0.36,96.7,2025-07-16T19:04:12.031771,edge_case
anxious,4,109.057,11.869,0.839,0.289,27.112,37.11,0.383,0.173,9.607,0.586,94.1,2025-07-16T19:04:12.031920,edge_case
stressed,3,101.59609089311373,13.516653752979188,0.6596431101568643,0.33,18.451,36.99,-0.3,0.299,9.893,0.269,95.2,2025-07-16T19:04:12.032075,edge_case
stressed,3,45.0,8.0,0.767,0.405,25.985,36.97,0.285,-0.95,9.756,0.704,94.8,2025-07-16T19:04:12.032230,edge_case
focused,1,123.31404771748035,68.61698482568603,0.335,0.052,15.855,36.59,-0.011,-0.027,9.793,0.296,96.8,2025-07-16T19:04:12.032410,edge_case
stressed,3,106.418,21.196,0.9,0.421,16.0,37.08,-1.89,-0.174,9.879,0.69,94.4,2025-07-16T19:04:12.032567,edge_case
anxious,4,102.131,21.168,0.745,0.387,29.643,37.15,0.043,0.413,9.716,0.508,95.4,2025-07-16T19:04:12.032717,edge_case
fatigued,5,58.66931928018153,31.70439777958874,0.24221505949412725,0.077,12.964,36.42,-0.068,0.081,9.806,0.223,97.9,2025-07-16T19:04:12.032866,edge_case
calm,0,45.0,90.0,0.303,0.154,15.128,36.64,0.005,-0.274,9.808,0.774,97.0,2025-07-16T19:04:12.033023,edge_case
focused,1,115.85505301833594,66.02949659491584,0.292,0.046,16.438,36.44,0.05,-0.033,9.807,0.875,97.7,2025-07-16T19:04:12.033205,edge_case
excited,2,79.299,35.579,0.581,0.557,21.841,36.89,0.235,-0.312,9.67,0.587,95.5,2025-07-16T19:04:12.033365,edge_case
focused,1,81.251,65.225,0.436,0.082,16.654,36.56,0.051,0.009,9.787,0.817,96.9,2025-07-16T19:04:12.033516,edge_case
calm,0,62.404082175345685,57.884885556281176,0.3440158277917294,0.127,14.494,36.39,0.193,-0.164,9.824,0.315,97.2,2025-07-16T19:04:12.033667,edge_case
excited,2,45.0,8.0,0.8,0.454,16.444,36.96,-0.195,-0.607,9.711,0.309,95.0,2025-07-16T19:04:12.033824,edge_case
focused,1,126.35525601612453,62.18313387176671,0.391,0.052,12.837,36.56,-0.023,-0.019,9.813,0.834,95.8,2025-07-16T19:04:12.034003,edge_case
stressed,3,108.39,20.909,0.629,0.286,17.124,37.07,0.188,0.392,9.552,0.164,95.0,2025-07-16T19:04:12.034161,edge_case
focused,1,69.408,62.775,0.458,0.056,15.464,36.49,0.014,-0.064,9.778,0.475,97.4,2025-07-16T19:04:12.034312,edge_case
stressed,3,100.89622055256241,20.630628812956655,0.40801916847417935,0.309,16.0,36.83,-0.784,-0.325,9.748,0.756,95.5,2025-07-16T19:04:12.034462,edge_case
anxious,4,180.0,8.0,0.778,0.382,21.872,36.85,-0.249,-0.4,9.623,0.283,96.0,2025-07-16T19:04:12.034618,edge_case
excited,2,128.26853113397104,66.6187160797733,0.791,0.423,18.694,36.77,-0.227,0.118,9.894,0.168,95.0,2025-07-16T19:04:12.034797,edge_case
anxious,4,107.082,17.566,0.693,0.392,24.576,37.0,0.5,-0.074,10.057,0.846,95.2,2025-07-16T19:04:12.034960,edge_case
fatigued,5,61.786,22.67,0.156,0.056,12.291,36.46,0.028,0.026,9.834,0.354,96.9,2025-07-16T19:04:12.035110,edge_case
excited,2,117.21872027491511,40.82837275025741,0.3789859207744545,0.663,22.799,37.09,0.53,-0.005,10.017,0.487,95.5,2025-07-16T19:04:12.035261,edge_case
calm,0,45.0,8.0,0.276,0.177,13.47,36.61,0.078,-0.234,9.761,0.157,98.0,2025-07-16T19:04:12.035419,edge_case
fatigued,5,127.92184285967201,75.08895377098119,0.198,0.178,12.783,36.4,0.092,0.187,9.824,0.463,98.2,2025-07-16T19:04:12.035599,edge_case
anxious,4,107.847,17.842,0.894,0.289,23.029,36.92,-0.024,-0.274,9.958,0.676,95.3,2025-07-16T19:04:12.035757,edge_case
anxious,4,99.547,14.705,0.771,0.534,22.612,36.95,0.0,0.002,10.348,0.272,94.7,2025-07-16T19:04:12.035909,edge_case
calm,0,71.08485517292941,40.17005450530635,0.30726618528024613,0.11,15.523,36.64,-0.14,-0.102,9.808,0.564,97.9,2025-07-16T19:04:12.036060,edge_case
calm,0,180.0,8.0,0.383,0.025,13.69,36.55,-0.017,-0.03,9.793,0.884,96.3,2025-07-16T19:04:12.036218,edge_case
focused,1,116.5698372117938,64.81452779415676,0.374,0.075,14.526,36.51,-0.063,0.078,9.84,0.881,96.8,2025-07-16T19:04:12.036398,edge_case
anxious,4,91.404,19.04,0.679,0.305,19.36,36.81,-0.351,0.226,9.729,0.434,95.7,2025-07-16T19:04:12.036556,edge_case
stressed,3,99.363,22.314,0.826,0.334,25.043,36.84,-0.673,0.667,9.896,0.662,95.8,2025-07-16T19:04:12.036705,edge_case
excited,2,75.05821357077029,29.289954918732175,0.725062590108632,0.365,19.515,36.72,-0.067,-0.107,9.804,0.16,95.4,2025-07-16T19:04:12.036856,edge_case
calm,0,180.0,90.0,0.323,0.155,12.604,36.42,-0.08,-0.064,9.757,0.509,96.8,2025-07-16T19:04:12.037012,edge_case
excited,2,115.2148264316667,78.55778467533042,0.55,0.383,21.071,36.97,-0.652,-0.691,9.619,0.995,95.0,2025-07-16T19:04:12.037341,edge_case
anxious,4,100.851,15.327,0.79,0.309,18.576,36.85,0.036,-0.281,10.233,0.443,95.0,2025-07-16T19:04:12.037643,edge_case
calm,0,70.702,32.183,0.15,0.112,12.486,36.62,-0.178,0.091,9.88,0.886,97.9,2025-07-16T19:04:12.037996,edge_case
fatigued,5,68.26413276914349,25.134296111041895,0.14091829960976426,0.117,10.57,36.74,-0.151,0.085,9.85,0.449,97.2,2025-07-16T19:04:12.038223,edge_case
calm,0,180.0,8.0,0.296,0.072,13.68,36.44,-0.015,0.001,9.845,0.154,97.0,2025-07-16T19:04:12.038563,edge_case
calm,0,113.95217053372555,73.47959602558926,0.421,0.082,10.777,36.36,-0.12,-0.031,9.718,0.533,96.9,2025-07-16T19:04:12.039034,edge_case
fatigued,5,74.888,16.922,0.252,0.218,12.843,36.8,0.11,0.37,9.82,0.369,96.1,2025-07-16T19:04:12.039241,edge_case
calm,0,69.516,39.659,0.247,0.134,14.393,36.59,0.053,-0.156,9.855,0.966,97.4,2025-07-16T19:04:12.039397,edge_case
calm,0,76.51929855149226,39.92495414303682,0.30886274288762106,0.147,14.433,36.51,0.135,-0.033,9.771,0.403,97.3,2025-07-16T19:04:12.039564,edge_case
focused,1,180.0,90.0,0.357,0.066,12.645,36.54,0.06,-0.032,9.773,0.653,97.1,2025-07-16T19:04:12.039727,edge_case
stressed,3,126.63796862421559,75.62646075354593,0.708,0.235,21.947,36.96,-0.135,-0.079,9.759,0.848,95.2,2025-07-16T19:04:12.039909,edge_case
anxious,4,94.225,19.952,0.95,0.241,28.19,36.89,-0.231,0.052,9.689,0.243,94.5,2025-07-16T19:04:12.040069,edge_case
focused,1,79.283,35.0,0.359,0.064,15.852,36.66,-0.088,-0.049,9.812,0.773,96.9,2025-07-16T19:04:12.040226,edge_case
focused,1,67.56579577236826,49.01413192743302,0.35504107537487245,0.039,14.005,36.57,-0.018,0.03,9.818,0.323,97.6,2025-07-16T19:04:12.040379,edge_case
anxious,4,45.0,90.0,0.932,0.373,18.127,37.08,0.036,-0.291,9.638,0.388,94.6,2025-07-16T19:04:12.040535,edge_case
excited,2,120.38548408526222,66.39018002058958,0.635,0.597,14.921,36.84,0.223,-0.192,9.537,0.489,95.8,2025-07-16T19:04:12.040717,edge_case
stressed,3,95.739,15.353,0.524,0.241,16.0,36.86,0.064,-0.092,9.784,0.771,95.6,2025-07-16T19:04:12.040877,edge_case
focused,1,73.118,35.642,0.39,0.045,17.654,36.52,-0.084,-0.029,9.793,0.401,96.6,2025-07-16T19:04:12.041029,edge_case
fatigued,5,65.95738827707338,21.702603673078066,0.30156643940481326,0.318,11.179,36.55,0.455,-0.018,9.482,0.803,97.5,2025-07-16T19:04:12.041178,edge_case
focused,1,45.0,90.0,0.315,0.087,16.179,36.45,0.128,-0.029,9.9,0.536,97.3,2025-07-16T19:04:12.041335,edge_case
fatigued,5,128.8885979860204,76.51327947658717,0.158,0.163,13.3,36.62,0.07,0.015,9.779,0.62,98.8,2025-07-16T19:04:12.041516,edge_case
stressed,3,97.815,11.366,0.762,0.252,16.057,36.87,0.365,0.593,9.81,0.616,95.4,2025-07-16T19:04:12.041673,edge_case
focused,1,82.662,57.47,0.312,0.006,16.235,36.79,0.003,-0.008,9.796,0.224,97.1,2025-07-16T19:04:12.041824,edge_case
stressed,3,77.89055150566723,24.62137512751169,0.6928431695618407,0.468,23.928,37.0,0.222,-0.077,9.835,0.312,96.2,2025-07-16T19:04:12.041973,edge_case
fatigued,5,180.0,90.0,0.251,0.24,14.018,36.47,0.232,-0.555,9.809,0.174,98.1,2025-07-16T19:04:12.042130,edge_case
excited,2,111.43806980966988,76.66812227668589,0.714,0.273,20.003,36.59,-0.231,0.045,9.776,0.168,96.1,2025-07-16T19:04:12.042308,edge_case
focused,1,80.196,46.984,0.408,0.048,13.873,36.62,0.006,-0.038,9.795,0.623,95.8,2025-07-16T19:04:12.042467,edge_case
excited,2,76.461,34.661,0.531,0.665,21.335,36.78,-1.017,-1.207,9.649,0.772,96.0,2025-07-16T19:04:12.042622,edge_case
fatigued,5,59.71630191955741,41.27626738397474,0.2845622156781683,0.05,10.204,36.49,0.084,0.009,9.8,0.882,98.0,2025-07-16T19:04:12.042773,edge_case
focused,1,180.0,90.0,0.4,0.03,15.339,36.45,0.018,-0.019,9.79,0.703,96.9,2025-07-16T19:04:12.042931,edge_case
focused,1,112.25131503948357,77.66705131818833,0.302,0.022,16.123,36.68,-0.009,0.035,9.797,0.546,97.1,2025-07-16T19:04:12.043113,edge_case
excited,2,78.584,31.03,0.48,0.362,20.232,36.77,0.314,-0.11,9.765,0.983,96.0,2025-07-16T19:04:12.043270,edge_case
stressed,3,93.184,10.979,0.9,0.181,20.161,36.61,0.011,0.497,9.808,0.32,94.6,2025-07-16T19:04:12.043424,edge_case
stressed,3,128.4852259040225,15.093960163158526,0.8370344156302494,0.292,17.959,37.27,0.147,-0.256,9.971,0.537,93.9,2025-07-16T19:04:12.043573,edge_case
calm,0,180.0,90.0,0.186,0.172,14.632,36.51,-0.022,0.092,9.805,0.411,96.6,2025-07-16T19:04:12.043750,edge_case
fatigued,5,119.24535332361276,71.5444403308195,0.283,0.178,9.939,36.63,0.251,0.137,9.851,0.925,96.9,2025-07-16T19:04:12.044174,edge_case
fatigued,5,57.152,40.0,0.233,0.2,10.259,36.4,0.16,-0.43,9.902,0.547,97.7,2025-07-16T19:04:12.044433,edge_case
excited,2,97.654,37.003,0.601,0.22,16.001,36.79,-0.429,-0.297,9.815,0.368,95.7,2025-07-16T19:04:12.044668,edge_case
calm,0,78.71767104599948,35.21000130263445,0.33483758178082834,0.079,15.852,36.68,-0.014,0.078,9.772,0.542,96.8,2025-07-16T19:04:12.044901,edge_case
fatigued,5,45.0,90.0,0.174,0.127,15.841,36.31,-0.178,0.069,9.866,0.732,96.6,2025-07-16T19:04:12.045144,edge_case
excited,2,124.2331318810947,61.68938039444501,0.698,0.221,15.88,36.69,0.117,-0.056,9.536,0.834,95.3,2025-07-16T19:04:12.045417,edge_case
calm,0,83.555,53.622,0.31,0.056,17.017,36.54,-0.096,-0.033,9.803,0.973,96.5,2025-07-16T19:04:12.045624,edge_case
stressed,3,101.905,21.617,0.826,0.344,21.319,36.87,-0.04,-0.258,9.787,0.412,94.2,2025-07-16T19:04:12.045785,edge_case
fatigued,5,57.71317772347453,26.156563947866196,0.3675528984567986,0.093,13.655,36.45,-0.057,0.024,9.765,0.389,98.5,2025-07-16T19:04:12.045955,edge_case
fatigued,5,45.0,90.0,0.208,0.241,12.068,36.42,0.092,-0.104,9.995,0.583,98.1,2025-07-16T19:04:12.046126,edge_case
excited,2,113.09572150282895,62.661061981848256,0.612,0.451,17.285,37.12,0.18,-0.056,9.665,0.425,95.3,2025-07-16T19:04:12.046312,edge_case
focused,1,74.477,44.748,0.312,0.003,16.149,36.58,-0.004,0.004,9.798,0.652,96.7,2025-07-16T19:04:12.046486,edge_case
focused,1,73.802,51.91,0.422,0.028,15.491,36.64,-0.04,-0.022,9.813,0.592,96.7,2025-07-16T19:04:12.046639,edge_case
fatigued,5,61.92685544358635,28.874672563327604,0.1438788030076114,0.146,9.652,36.26,0.039,-0.082,9.855,0.866,97.9,2025-07-16T19:04:12.046790,edge_case
anxious,4,45.0,8.0,0.754,0.198,25.287,36.74,0.23,-0.0,9.899,0.512,95.4,2025-07-16T19:04:12.046946,edge_case
focused,1,117.40971030963385,60.406684509106384,0.422,0.002,15.57,36.37,-0.001,0.003,9.8,0.94,97.1,2025-07-16T19:04:12.047126,edge_case
fatigued,5,71.765,32.548,0.247,0.18,14.695,36.82,-0.065,0.263,9.711,0.447,96.8,2025-07-16T19:04:12.047284,edge_case
anxious,4,94.949,19.482,0.903,0.3,20.181,37.11,-0.106,-0.145,9.733,0.158,95.5,2025-07-16T19:04:12.047435,edge_case
anxious,4,100.17410443136988,24.20714724753421,0.9542815761196514,0.26,28.944,36.82,-0.083,0.478,9.801,0.426,96.0,2025-07-16T19:04:12.047585,edge_case
anxious,4,180.0,8.0,0.95,0.373,20.915,36.91,-0.068,0.4,9.758,0.94,95.5,2025-07-16T19:04:12.047742,edge_case
focused,1,114.22298764796346,71.06141710962451,0.47,0.023,14.184,36.55,0.01,-0.006,9.786,0.265,97.6,2025-07-16T19:04:12.047929,edge_case
excited,2,97.158,27.318,0.606,0.207,20.663,36.9,-0.469,-0.18,9.89,0.902,95.7,2025-07-16T19:04:12.048090,edge_case
anxious,4,86.178,14.63,0.915,0.338,19.389,36.82,0.674,0.077,9.817,0.135,95.9,2025-07-16T19:04:12.048241,edge_case
anxious,4,107.71183754197011,17.09634942728742,0.6647290888497362,0.505,20.992,37.07,0.348,0.104,9.735,0.848,96.0,2025-07-16T19:04:12.048392,edge_case
fatigued,5,45.0,90.0,0.285,0.236,8.87,36.63,-0.118,-0.136,9.776,0.969,96.5,2025-07-16T19:04:12.048548,edge_case
anxious,4,117.3127485333495,78.58309334321935,0.9,0.298,18.0,36.78,0.602,-0.513,9.764,0.372,94.5,2025-07-16T19:04:12.048727,edge_case
excited,2,84.511,30.382,0.651,0.272,19.195,36.82,-0.093,-0.062,9.869,0.914,95.6,2025-07-16T19:04:12.048886,edge_case
anxious,4,109.57,19.469,0.722,0.34,22.669,37.16,0.1,0.293,9.521,0.376,94.7,2025-07-16T19:04:12.049037,edge_case
fatigued,5,65.46287764156595,21.544448238202396,0.3222255839647742,0.071,14.676,36.31,0.007,0.03,9.809,0.459,96.7,2025-07-16T19:04:12.049187,edge_case
anxious,4,180.0,90.0,0.95,0.473,22.788,36.81,0.701,0.144,9.821,0.735,95.3,2025-07-16T19:04:12.049346,edge_case
