emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,sequence_index,sequence_id
calm,0,70.049,43.504,0.31,0.105,14.338,36.27,-0.025,0.174,9.781,0.809,96.4,2025-07-16T19:05:57.497271,106,0
calm,0,70.015,41.689,0.302,0.115,12.82,36.46,-0.227,0.03,9.792,0.671,97.8,2025-07-16T19:05:58.497271,107,0
calm,0,68.023,42.468,0.32,0.039,15.241,36.54,-0.033,0.009,9.765,0.104,96.7,2025-07-16T19:05:59.497271,108,0
calm,0,82.903,43.792,0.223,0.0,10.316,36.52,0.0,0.0,9.8,0.635,97.4,2025-07-16T19:06:00.497271,109,0
calm,0,77.14,37.676,0.231,0.121,14.323,36.7,-0.022,0.02,9.881,0.631,97.3,2025-07-16T19:06:01.497271,110,0
calm,0,58.601,37.945,0.24,0.055,11.818,36.38,0.054,0.008,9.77,0.915,96.8,2025-07-16T19:06:02.497271,111,0
calm,0,63.819,52.999,0.433,0.033,15.046,36.43,-0.021,0.008,9.762,0.217,97.3,2025-07-16T19:06:03.497271,112,0
calm,0,72.351,44.941,0.298,0.178,12.765,36.53,-0.139,0.002,9.741,0.114,96.8,2025-07-16T19:06:04.497271,113,0
calm,0,82.548,55.247,0.415,0.132,15.076,36.74,-0.018,0.203,9.906,0.351,95.9,2025-07-16T19:06:05.497271,114,0
calm,0,79.306,50.258,0.295,0.132,10.465,36.51,-0.063,0.025,9.736,0.842,97.1,2025-07-16T19:06:06.497271,115,0
calm,0,85.0,42.026,0.26,0.112,15.932,36.77,0.058,0.048,9.877,0.192,96.2,2025-07-16T19:06:07.497271,116,0
calm,0,75.709,46.966,0.215,0.139,14.447,36.51,-0.079,-0.072,9.782,0.677,97.5,2025-07-16T19:06:08.497271,117,0
calm,0,57.101,33.907,0.261,0.058,13.303,36.42,-0.024,0.006,9.823,0.218,97.4,2025-07-16T19:06:09.497271,118,0
calm,0,63.029,35.359,0.281,0.068,11.161,36.5,0.051,0.051,9.811,0.462,97.1,2025-07-16T19:06:10.497271,119,0
calm,0,58.848,46.787,0.321,0.127,12.729,36.35,0.006,-0.009,9.84,0.114,97.5,2025-07-16T19:06:11.497271,120,0
calm,0,85.0,30.0,0.239,0.067,10.0,36.66,-0.018,-0.041,9.775,0.997,97.6,2025-07-16T19:06:12.497271,121,0
calm,0,57.405,46.328,0.198,0.018,15.936,36.17,-0.011,-0.023,9.811,0.58,97.4,2025-07-16T19:06:13.497271,122,0
calm,0,59.321,54.833,0.276,0.171,11.326,36.4,0.136,0.336,9.666,0.468,97.5,2025-07-16T19:06:14.497271,123,0
calm,0,83.446,47.353,0.378,0.074,13.205,36.54,0.009,-0.049,9.809,0.617,95.0,2025-07-16T19:06:15.497271,124,0
calm,0,66.569,39.631,0.283,0.1,16.16,36.43,-0.112,0.017,9.807,0.561,96.5,2025-07-16T19:06:16.497271,125,0
calm,0,57.667,42.215,0.242,0.044,13.424,36.36,-0.04,0.005,9.774,0.166,98.2,2025-07-16T19:06:17.497271,126,0
calm,0,66.284,61.012,0.246,0.134,11.626,36.79,-0.033,0.07,9.766,0.714,96.5,2025-07-16T19:06:18.497271,127,0
calm,0,71.367,39.646,0.268,0.096,17.227,36.62,-0.04,-0.073,9.721,0.975,96.5,2025-07-16T19:06:19.497271,128,0
calm,0,64.759,48.749,0.313,0.071,12.929,36.48,-0.047,-0.058,9.808,0.185,98.1,2025-07-16T19:06:20.497271,129,0
calm,0,76.038,30.884,0.424,0.012,11.537,36.49,-0.014,0.006,9.807,0.942,96.7,2025-07-16T19:06:21.497271,130,0
calm,0,60.766,43.834,0.33,0.158,14.367,36.52,-0.213,-0.277,9.846,0.826,97.0,2025-07-16T19:06:22.497271,131,0
calm,0,58.548,37.882,0.343,0.058,15.353,36.36,-0.044,0.002,9.728,0.488,97.3,2025-07-16T19:06:23.497271,132,0
calm,0,70.268,59.233,0.329,0.133,12.732,36.54,-0.016,-0.074,9.643,0.844,97.2,2025-07-16T19:06:24.497271,133,0
calm,0,74.699,35.897,0.334,0.072,13.049,36.4,0.1,-0.04,9.749,0.322,96.7,2025-07-16T19:06:25.497271,134,0
calm,0,72.82,38.022,0.433,0.095,14.051,36.44,-0.142,-0.019,9.81,0.164,97.0,2025-07-16T19:06:26.497271,135,0
calm,0,65.792,48.875,0.275,0.024,14.438,36.5,0.01,0.042,9.799,0.257,96.6,2025-07-16T19:06:27.497271,136,0
calm,0,69.546,58.624,0.226,0.217,12.738,36.52,0.082,0.084,9.611,0.372,98.0,2025-07-16T19:06:28.497271,137,0
calm,0,77.018,42.416,0.292,0.069,14.408,36.66,0.021,0.078,9.82,0.671,97.2,2025-07-16T19:06:29.497271,138,0
calm,0,73.239,50.214,0.259,0.057,15.046,36.44,0.02,0.053,9.827,0.223,96.8,2025-07-16T19:06:30.497271,139,0
calm,0,76.028,50.298,0.171,0.122,13.186,36.6,-0.185,-0.086,9.83,0.799,96.4,2025-07-16T19:06:31.497271,140,0
calm,0,72.243,35.654,0.464,0.208,14.829,36.62,0.082,0.062,9.946,0.729,96.8,2025-07-16T19:06:32.497271,141,0
calm,0,71.686,39.397,0.188,0.071,15.687,36.65,-0.027,-0.063,9.814,0.325,97.1,2025-07-16T19:06:33.497271,142,0
calm,0,59.043,58.901,0.267,0.012,11.072,36.46,-0.006,0.01,9.789,0.778,98.0,2025-07-16T19:06:34.497271,143,0
calm,0,70.63,44.591,0.305,0.091,14.021,36.6,0.021,-0.102,9.808,0.551,97.8,2025-07-16T19:06:35.497271,144,0
calm,0,72.842,44.417,0.276,0.097,15.022,36.72,0.203,0.189,9.746,0.655,96.5,2025-07-16T19:06:36.497271,145,0
calm,0,66.008,52.527,0.298,0.101,14.643,36.39,-0.188,0.149,9.77,0.473,96.0,2025-07-16T19:06:37.497271,146,0
calm,0,83.48,33.064,0.285,0.094,13.99,36.69,-0.168,-0.177,9.711,0.79,96.3,2025-07-16T19:06:38.497271,147,0
calm,0,64.791,30.988,0.325,0.074,15.482,36.63,-0.024,-0.082,9.842,0.722,96.5,2025-07-16T19:06:39.497271,148,0
calm,0,72.759,50.161,0.347,0.055,10.0,36.39,-0.05,0.032,9.802,0.22,97.2,2025-07-16T19:06:40.497271,149,0
calm,0,63.701,33.749,0.271,0.101,14.156,36.58,-0.078,-0.027,9.792,0.392,96.4,2025-07-16T19:06:41.497271,150,0
calm,0,66.115,54.901,0.275,0.091,10.117,36.69,-0.046,-0.117,9.746,0.775,97.6,2025-07-16T19:06:42.497271,151,0
calm,0,69.972,42.419,0.423,0.174,15.59,36.58,0.037,-0.07,9.832,0.168,97.2,2025-07-16T19:06:43.497271,152,0
calm,0,68.23,43.404,0.274,0.034,12.374,36.5,0.004,-0.024,9.812,0.94,96.7,2025-07-16T19:06:44.497271,153,0
calm,0,66.081,49.705,0.251,0.17,13.571,36.75,-0.056,-0.078,9.643,0.973,97.2,2025-07-16T19:06:45.497271,154,0
calm,0,73.389,49.526,0.273,0.148,14.434,36.75,-0.078,0.034,9.798,0.259,96.8,2025-07-16T19:06:46.497271,155,0
calm,0,68.062,48.688,0.498,0.0,12.058,36.45,0.0,0.0,9.8,0.737,96.5,2025-07-16T19:06:47.497271,156,0
calm,0,64.006,50.757,0.239,0.008,11.837,36.61,0.001,-0.017,9.796,0.346,97.7,2025-07-16T19:06:48.497271,157,0
calm,0,64.808,51.773,0.37,0.098,12.237,36.52,0.047,-0.031,9.89,0.874,97.2,2025-07-16T19:06:49.497271,158,0
calm,0,62.738,62.337,0.407,0.161,13.213,36.61,-0.203,-0.157,9.623,0.414,97.3,2025-07-16T19:06:50.497271,159,0
calm,0,55.551,62.256,0.29,0.119,12.898,36.59,-0.086,0.066,9.736,0.131,97.8,2025-07-16T19:06:51.497271,160,0
calm,0,67.057,55.709,0.302,0.098,15.685,36.41,-0.041,-0.11,9.801,0.517,96.7,2025-07-16T19:06:52.497271,161,0
calm,0,71.65,58.179,0.372,0.127,13.686,36.58,0.087,-0.053,9.763,0.33,97.1,2025-07-16T19:06:53.497271,162,0
calm,0,70.018,49.499,0.307,0.114,12.357,36.64,0.076,-0.067,9.833,0.17,96.5,2025-07-16T19:06:54.497271,163,0
calm,0,70.287,43.675,0.356,0.12,15.136,36.64,0.005,-0.002,9.773,0.439,97.0,2025-07-16T19:06:55.497271,164,0
calm,0,75.154,53.442,0.348,0.209,13.492,36.55,0.104,-0.063,9.858,0.896,97.1,2025-07-16T19:06:56.497271,165,0
calm,0,84.204,42.184,0.376,0.112,14.325,36.67,0.102,-0.128,9.886,0.41,97.1,2025-07-16T19:06:57.497271,166,0
calm,0,69.43,59.49,0.248,0.022,13.695,36.65,-0.039,0.018,9.794,0.534,97.1,2025-07-16T19:06:58.497271,167,0
calm,0,73.893,46.125,0.313,0.102,16.216,36.78,0.05,0.061,9.829,0.146,96.1,2025-07-16T19:06:59.497271,168,0
calm,0,62.583,48.278,0.464,0.09,16.263,36.39,-0.159,0.195,9.811,0.313,97.7,2025-07-16T19:07:00.497271,169,0
calm,0,75.866,30.86,0.337,0.146,14.095,36.83,0.088,0.178,9.807,0.752,97.6,2025-07-16T19:07:01.497271,170,0
calm,0,65.767,42.624,0.334,0.088,10.715,36.52,0.002,-0.068,9.799,0.253,97.8,2025-07-16T19:07:02.497271,171,0
calm,0,65.276,42.954,0.228,0.116,17.324,36.39,0.067,0.068,9.767,0.118,96.6,2025-07-16T19:07:03.497271,172,0
calm,0,60.915,49.139,0.369,0.178,12.914,36.51,0.095,0.155,9.623,0.138,97.7,2025-07-16T19:07:04.497271,173,0
calm,0,74.933,48.872,0.413,0.182,14.91,36.54,0.086,0.04,9.78,0.223,97.1,2025-07-16T19:07:05.497271,174,0
calm,0,79.226,57.775,0.347,0.079,11.835,36.65,-0.027,-0.04,9.786,0.306,96.8,2025-07-16T19:07:06.497271,175,0
calm,0,66.219,50.319,0.411,0.186,17.922,36.49,-0.165,-0.161,9.811,0.356,97.1,2025-07-16T19:07:07.497271,176,0
calm,0,70.863,44.038,0.252,0.117,13.995,36.71,-0.016,-0.268,9.707,0.927,97.9,2025-07-16T19:07:08.497271,177,0
calm,0,55.0,48.757,0.311,0.082,16.737,36.49,-0.08,0.17,9.859,0.436,97.9,2025-07-16T19:07:09.497271,178,0
calm,0,59.946,50.709,0.366,0.098,16.258,36.39,0.063,-0.186,9.806,0.113,97.5,2025-07-16T19:07:10.497271,179,0
focused,1,63.484,55.295,0.346,0.058,16.088,36.516,0.046,0.005,9.829,0.987,97.8,2025-07-16T19:07:11.497271,180,0
focused,1,75.024,44.764,0.408,0.063,13.595,36.39,-0.049,0.022,9.821,0.141,96.9,2025-07-16T19:07:12.497271,181,0
focused,1,71.418,47.783,0.474,0.048,16.538,36.5,0.021,-0.057,9.844,0.533,96.4,2025-07-16T19:07:13.497271,182,0
focused,1,65.076,35.0,0.317,0.055,14.926,36.56,-0.022,0.053,9.773,0.92,97.9,2025-07-16T19:07:14.497271,183,0
focused,1,73.133,48.542,0.391,0.061,14.886,36.74,0.072,-0.081,9.753,0.281,96.8,2025-07-16T19:07:15.497271,184,0
focused,1,75.499,49.051,0.438,0.053,15.702,36.67,-0.073,0.05,9.823,0.682,96.6,2025-07-16T19:07:16.497271,185,0
focused,1,69.266,54.469,0.442,0.043,16.184,36.5,-0.006,-0.002,9.799,0.451,97.1,2025-07-16T19:07:17.497271,186,0
focused,1,73.715,53.158,0.519,0.05,14.118,36.6,0.032,0.026,9.819,0.358,96.5,2025-07-16T19:07:18.497271,187,0
focused,1,80.6,36.289,0.483,0.054,13.67,36.74,-0.002,-0.021,9.779,0.205,95.7,2025-07-16T19:07:19.497271,188,0
focused,1,88.532,41.895,0.425,0.023,17.156,36.75,0.005,0.04,9.797,0.915,95.7,2025-07-16T19:07:20.497271,189,0
focused,1,76.091,45.294,0.476,0.076,16.01,36.64,0.051,-0.088,9.761,0.304,96.3,2025-07-16T19:07:21.497271,190,0
focused,1,74.429,35.171,0.419,0.073,14.182,36.58,0.027,-0.032,9.758,0.27,96.4,2025-07-16T19:07:22.497271,191,0
focused,1,69.402,51.382,0.418,0.06,17.737,36.49,-0.018,-0.043,9.77,0.746,97.1,2025-07-16T19:07:23.497271,192,0
focused,1,73.753,52.941,0.394,0.038,15.605,36.5,-0.038,0.008,9.799,0.679,97.0,2025-07-16T19:07:24.497271,193,0
focused,1,70.61,48.371,0.385,0.051,16.166,36.57,0.037,-0.062,9.842,0.51,96.9,2025-07-16T19:07:25.497271,194,0
focused,1,76.168,45.615,0.313,0.102,14.101,36.62,-0.097,-0.042,9.722,0.308,97.5,2025-07-16T19:07:26.497271,195,0
focused,1,65.0,36.288,0.34,0.054,15.43,36.46,0.004,-0.028,9.877,0.129,96.5,2025-07-16T19:07:27.497271,196,0
